,dailysamples,dailyconfirmed,dailyrecovered,dailydeceased,totalcritical,ventilatorpatients,totalsamples,totalconfirmed,totalhospital,totalrecovered,totaldeceased,totalhousesurvey,populationcovered,housescovered,flu,Date
1,153,15,0.0,2,,,2231,255,198,26,31,733.0,1930096.0,564875.0,56.0,12.04.2020
2,115,33,1.0,2,4.0,,2346,278,218,27,33,751.0,2152692.0,633618.0,201.0,13.04.2020
3,157,44,1.0,4,6.0,,2503,322,260,28,34,743.0,2355472.0,701736.0,87.0,14.04.2020
4,220,55,1.0,4,5.0,,2723,377,307,29,41,795.0,2576501.0,773284.0,110.0,15.04.2020
5,265,65,0.0,5,7.0,,2988,442,367,29,46,796.0,2798651.0,844189.0,141.0,16.04.2020
6,256,59,4.0,3,10.0,,3244,501,421,33,47,763.0,3092727.0,923870.0,89.0,17.04.2020
7,362,43,4.0,2,8.0,,3606,544,459,37,48,,,,,18.04.2020
8,181,42,18.0,0,15.0,,3787,586,482,55,49,,,,,19.04.2020
9,182,80,13.0,0,14.0,,3969,666,548,68,50,739.0,3737021.0,1083265.0,140.0,20.04.2020
10,340,42,19.0,2,15.0,,4309,708,569,87,52,750.0,3981330.0,1159283.0,131.0,21.04.2020
11,562,64,35.0,4,26.0,,4871,772,594,122,56,754.0,4063784.0,1234470.0,106.0,22.04.2020
12,667,104,8.0,4,36.0,,5538,876,686,130,60,474.0,4298516.0,1308879.0,95.0,23.04.2020
13,367,72,6.0,5,44.0,5.0,7230,1139,768,165,72,,,,,26.04.2020
14,445,78,11.0,3,49.0,3.0,7675,1217,821,176,75,972.0,5062457.0,1544375.0,212.0,27.04.2020
15,510,122,27.0,2,73.0,15.0,8185,1339,919,203,79,934.0,5323085.0,1627099.0,94.0,28.04.2020
16,673,93,27.0,2,70.0,14.0,8858,1432,980,230,81,1008.0,5612516.0,1715649.0,59.0,29.04.2020
17,340,86,44.0,7,70.0,14.0,9198,1518,1022,274,85,1044.0,5894519.0,1800448.0,44.0,30.04.2020
18,691,93,51.0,7,64.0,12.0,9889,1611,1057,325,92,1004.0,6163716.0,1883128.0,50.0,01.05.2020
19,413,107,53.0,3,67.0,11.0,10302,1718,1246,378,94,1073.0,6828243.0,1969369.0,55.0,02.05.2020
20,451,99,55.0,7,75.0,17.0,10753,1817,1152,433,101,,,,,03.05.2020
21,106,61,50.0,6,76.0,20.0,10859,1878,1150,483,107,,,,,04.05.2020
22,998,65,,4,76.0,20.0,16679,1943,1297,535,111,975.0,7400712.0,2140597.0,64.0,05.05.2020
23,890,86,52.0,7,79.0,18.0,17569,2029,1324,587,118,987.0,7701559.0,2229365.0,45.0,06.05.2020
24,1059,117,84.0,7,72.0,11.0,18628,2146,1350,671,125,946.0,7987304.0,2303714.0,51.0,07.05.2020
25,1642,99,61.0,12,76.0,12.0,20270,2245,1377,732,137,,,,,08.05.2020
26,1543,135,96.0,4,70.0,12.0,21813,2380,1414,826,140,,,,,09.05.2020
